,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
S1PR1,28.829243552707997,-2.7315763860767066,0.4375096270639889,-6.243465782473386,4.279799702382622e-10,6.287261657271857e-08
LINC00968,2.325173011639978,-4.904537859852665,0.787812984503731,-6.225510313138838,4.799910768757117e-10,6.996244938492307e-08
CD101,4.618670720218847,-2.418520337834254,0.3888954644622465,-6.218947143491413,5.00501858209744e-10,7.238653619084646e-08
NOTCH4,9.771694452283159,-1.8981256206679848,0.306345754809017,-6.19602390720681,5.790733480437714e-10,8.310593426502033e-08
FAM189A2,7.724019325189227,-3.3881896479819953,0.5480954528553907,-6.181751062393751,6.339443880270923e-10,9.028626295741574e-08
IGHG1,10625.472517515826,5.719631119386243,0.9259739926134299,6.176880954554023,6.538033252787744e-10,9.240915636156132e-08
AL008729.2,26.64058139327415,-2.563793725010254,0.41548890803361543,-6.170546735276091,6.805425553403192e-10,9.546528161642356e-08
SLC44A2,151.20257779846008,-1.1909147552730461,0.19318874578580397,-6.16451414097103,7.069987926366987e-10,9.843639159867827e-08
GPIHBP1,11.645311080063273,-3.7193415926406357,0.6038254896300529,-6.159629986669448,7.291510924660432e-10,1.0076868097880716e-07
CSRNP1,80.93189254705361,-2.6799859671437605,0.43554077967365945,-6.153237749980177,7.591686529171975e-10,1.0414565851085407e-07
AL136452.1,2.523783331004284,-3.265768390197877,0.5320176916184175,-6.138458253640568,8.332620290081927e-10,1.1347569105989671e-07
EMCN,16.677491494048045,-3.398130371384583,0.5536867056045345,-6.137280048424471,8.394632736784839e-10,1.1349178476101067e-07
KCNK17,4.05396443055226,-3.092087110717507,0.5044066693949764,-6.130147157701921,8.779782599982917e-10,1.1784489494092179e-07
TENT5B,14.157476287588,-3.2015375248013567,0.5228004476469689,-6.123823227793517,9.13562485333291e-10,1.2174525206330864e-07
STARD8,9.554337686101787,-2.467018915129484,0.4032744369969004,-6.1174691197906155,9.507317634925791e-10,1.2580001781192233e-07
SPP1,862.0258534664652,5.3492693474240545,0.8758014836951818,6.107856000488165,1.0097839443503786e-09,1.3267281020947192e-07
FOXF1,16.605254719016212,-3.0787856588135356,0.504236029409341,-6.105842262838708,1.0225996315184513e-09,1.3341707220447373e-07
KIF1C,61.3956897880218,-1.650565141520254,0.2706895757137643,-6.09763097514185,1.076519074796094e-09,1.3947650262826892e-07
TRGJP2,4.438618078880016,-4.081345431168095,0.6700990708366616,-6.090659737928413,1.1244632137874961e-09,1.4468351848022978e-07
TMEM100,53.42890406912391,-5.206530193397068,0.8556412003674554,-6.084945642123266,1.1653083936201854e-09,1.4891204588884793e-07
AC084880.1,3.4303148995313175,-2.54651346256047,0.4190446590642529,-6.076950051688902,1.2248989524824353e-09,1.5546217521404622e-07
CLDN5,47.282671615741265,-3.3736581761778544,0.555381782382232,-6.074484765609384,1.2438644312861153e-09,1.5680255874665575e-07
WIF1,64.42654047724297,-5.173523570115577,0.8537840530811268,-6.059522371547489,1.3652633925259082e-09,1.7095113499567698e-07
SLC1A1,23.90162817534167,-2.9797597194221765,0.49244943406606534,-6.050894799124537,1.440434936977011e-09,1.7916129746120062e-07
RASIP1,13.920192465525904,-2.373402657527989,0.39301445107360394,-6.038970452726424,1.551006400511224e-09,1.9016285238792335e-07
GPD1,13.907904620545095,-4.2040743256360615,0.696258647816463,-6.038092796147612,1.5594638160128786e-09,1.9016285238792335e-07
XAGE2,4.635995086962846,-5.0929187366944735,0.8431907810269696,-6.040055051943904,1.54061654795304e-09,1.9016285238792335e-07
AL606469.1,2.7672026375663,-6.370957072999247,1.056439056258509,-6.030595930031844,1.6335616683888444e-09,1.9790493537097838e-07
HYAL2,56.57189770163959,-1.6863305954844117,0.27993539376926013,-6.023999226315729,1.7015917905187262e-09,2.04816761520696e-07
CAVIN2,84.00724694224955,-3.510079297454795,0.5837309642319447,-6.013179893708825,1.8191896367285344e-09,2.1618229969709726e-07
KRT4,15.231200887095206,-5.171333795381059,0.8598818649531403,-6.0140049536489215,1.8099497528162748e-09,2.1618229969709726e-07
CAV2,59.78514468526823,-2.988094099752721,0.4974026987450705,-6.007394224622378,1.885287222233853e-09,2.2261901079251267e-07
SIRPB1,3.630532419970954,-2.6955279694143277,0.4504678280592035,-5.983841245728348,2.179357390841166e-09,2.55724973842287e-07
LGALSL,23.70894606760999,-2.4653787924878405,0.4123126433825327,-5.979391687488293,2.239724247158895e-09,2.6116584549527193e-07
IGHG4,1085.2807222803162,6.77458806340328,1.135544270824157,5.965939186577383,2.432308692280978e-09,2.818607656638895e-07
TGFBR2,103.05519882751999,-2.049067016281736,0.3444210873860426,-5.949307668217915,2.692790528696194e-09,3.101197092215117e-07
DAPK2,6.082515858432793,-2.481649718164445,0.4181138526201928,-5.935344410649631,2.9322928828861254e-09,3.356306031656837e-07
